kmage;miles;priceRUB;priceUSD;vol;power;fuel
83000;51460;1395000;18979,6;2,0;140;Дизель
86000;53320;1099000;14952,4;2,0;170;Бензин
118000;73160;1730000;23537,4;2,0;150;Дизель
31000;19220;1940000;26394,6;1,4;150;Бензин
126500;78430;875000;11904,8;2,0;140;Дизель
112000;69440;1980000;26938,8;2,0;220;Бензин
104000;64480;1920000;26122,5;2,0;150;Дизель
190000;117800;1070000;14557,8;2,0;170;Бензин
22800;14136;1950000;26530,6;1,4;150;Бензин
283000;175460;850000;11564,6;2,0;170;Бензин
138000;85560;925000;12585,0;2,0;170;Бензин
26630;16511;2020000;27483,0;2,0;180;Бензин
40452;25080;2300000;31292,5;2,0;180;Бензин
32000;19840;2290000;31156,5;2,0;180;Бензин
97535;60472;834000;11346,9;1,4;122;Бензин
129000;79980;750000;10204,1;1,4;150;Бензин
80000;49600;1660000;22585,0;1,4;150;Бензин
44000;27280;2060000;28027,2;2,0;180;Бензин
86200;53444;1880000;25578,2;2,0;150;Дизель
16300;10106;2100000;28571,4;1,4;150;Бензин
69900;43338;850000;11564,6;1,4;150;Бензин
98700;61194;1249000;16993,2;1,4;122;Бензин
60738;37658;1023000;13918,4;2,0;170;Бензин
18500;11470;2550000;34693,9;2,0;150;Дизель
23000;14260;1980000;26938,8;1,4;150;Бензин
47221;29277;1834600;24960,5;2,0;150;Дизель
105000;65100;785000;10680,3;1,4;122;Бензин
50000;31000;2180000;29659,9;2,0;150;Дизель
73065;45300;2199000;29918,4;2,0;150;Дизель
5300;3286;2149000;29238,1;1,4;150;Бензин
22572;13995;2540000;34557,8;2,0;220;Бензин
45000;27900;1599000;21755,1;1,4;125;Бензин
177775;110220;1249000;16993,2;2,0;140;Дизель
40000;24800;1330000;18095,2;1,4;150;Бензин
140000;86800;880000;11972,8;2,0;170;Бензин
109000;67580;1100000;14966,0;2,0;140;Дизель
83209;51590;1050000;14285,7;1,4;150;Бензин
89236;55326;1130000;15374,1;1,4;150;Бензин
52000;32240;1499990;20408,0;1,4;125;Бензин
50000;31000;2055000;27959,2;2,0;150;Дизель
70834;43917;2099000;28557,8;2,0;180;Бензин
145000;89900;1190000;16190,5;2,0;170;Бензин
117911;73105;1239000;16857,1;2,0;170;Бензин
162563;100789;809000;11006,8;2,0;170;Бензин
209000;129580;730000;9932,0;2,0;170;Бензин
57000;35340;1250000;17006,8;1,4;122;Бензин
37000;22940;1815000;24693,9;1,4;150;Бензин
99899;61937;1796500;24442,2;1,4;150;Бензин
178000;110360;1210000;16462,6;2,0;200;Бензин
40009;24806;990000;13469,4;1,4;150;Бензин
36000;22320;1760000;23945,6;1,4;150;Бензин
189000;117180;738000;10040,8;2,0;140;Дизель
116855;72450;1067000;14517,0;1,4;150;Бензин
7776;4821;2647000;36013,6;2,0;180;Бензин
46700;28954;1030000;14013,6;1,4;150;Бензин
54500;33790;2399000;32639,5;2,0;150;Дизель
20700;12834;2190000;29795,9;2,0;180;Бензин
65700;40734;1650000;22449,0;1,4;150;Бензин
70000;43400;1100000;14966,0;1,4;150;Бензин
94000;58280;1165000;15850,3;2,0;170;Бензин
145000;89900;955000;12993,2;2,0;140;Дизель
107000;66340;995000;13537,4;2,0;140;Дизель
114000;70680;995000;13537,4;2,0;140;Дизель
98900;61318;1149000;15632,6;2,0;170;Бензин
137000;84940;785000;10680,3;2,0;140;Дизель
65000;40300;1645000;22381,0;1,4;125;Бензин
33365;20686;1889000;25700,7;2,0;150;Дизель
4533;2810;1729000;23523,8;1,4;150;Бензин
175400;108748;899000;12231,3;2,0;170;Бензин
50000;31000;1750000;23809,5;1,4;150;Бензин
77500;48050;1100000;14966,0;2,0;170;Бензин
43000;26660;2049000;27877,5;2,0;180;Бензин
160000;99200;890000;12108,8;1,4;150;Бензин
33000;20460;1070000;14557,8;1,4;150;Бензин
210000;130200;545000;7415,0;1,4;150;Бензин
95000;58900;750000;10204,1;1,4;122;Бензин
37601;23313;750000;10204,1;1,4;150;Бензин
7700;4774;1950000;26530,6;1,4;150;Бензин
127800;79236;799000;10870,8;2,0;170;Бензин
105000;65100;1200000;16326,5;2,0;170;Бензин
106000;65720;915000;12449,0;2,0;140;Дизель
85000;52700;1125000;15306,1;2,0;170;Бензин
103000;63860;820000;11156,5;1,4;122;Бензин
117000;72540;990000;13469,4;2,0;170;Бензин
67000;41540;1165000;15850,3;1,4;150;Бензин
57000;35340;2490000;33877,6;2,0;220;Бензин
197600;122512;935000;12721,1;2,0;170;Бензин
87000;53940;880000;11972,8;2,0;140;Дизель
89000;55180;980000;13333,3;2,0;170;Бензин
64000;39680;920000;12517,0;1,4;150;Бензин
36900;22878;1789000;24340,1;1,4;150;Бензин
54941;34063;1222000;16625,8;1,4;150;Бензин
165000;102300;1654000;22503,4;2,0;150;Дизель
125500;77810;810000;11020,4;1,4;150;Бензин
34000;21080;949000;12911,6;1,4;150;Бензин
66000;40920;999000;13591,8;1,4;150;Бензин
84000;52080;1029000;14000,0;1,4;150;Бензин
138200;85684;900000;12244,9;2,0;170;Бензин
0;0;1822900;24801,4;1,4;150;Бензин
99000;61380;1375000;18707,5;2,0;170;Бензин
99572;61735;1197000;16285,7;2,0;170;Бензин
35000;21700;1910000;25986,4;1,4;150;Бензин
1290;800;1999000;27197,3;1,4;150;Бензин
95120;58974;2079000;28285,7;2,0;150;Дизель
95486;59201;1429000;19442,2;2,0;180;Бензин
75300;46686;1000000;13605,4;2,0;170;Бензин
95000;58900;780000;10612,2;1,4;122;Бензин
83771;51938;1919000;26108,8;2,0;150;Дизель
69164;42882;1620000;22040,8;1,4;150;Бензин
204635;126874;1039000;14136,0;2,0;170;Бензин
104446;64757;907000;12340,1;2,0;170;Бензин
122000;75640;725000;9864,0;2,0;170;Бензин
13000;8060;1860000;25306,1;1,4;150;Бензин
33652;20864;1953000;26571,4;1,4;150;Бензин
24500;15190;1820000;24761,9;1,4;150;Бензин
17300;10726;2450000;33333,3;2,0;180;Бензин
107963;66937;1229000;16721,1;2,0;170;Бензин
0;0;2430800;33072,1;2,0;180;Бензин
97000;60140;965000;13129,2;2,0;170;Бензин
33500;20770;2590000;35238,1;2,0;180;Бензин
118927;73735;925000;12585,0;1,4;150;Бензин
121250;75175;1483000;20176,9;1,4;150;Бензин
86000;53320;1099000;14952,4;2,0;170;Бензин
26556;16465;1139000;15496,6;1,4;122;Бензин
137000;84940;850000;11564,6;1,4;150;Бензин
127726;79190;763000;10381,0;2,0;170;Бензин
114000;70680;925000;12585,0;2,0;170;Бензин
18500;11470;2170000;29523,8;1,4;150;Бензин
109028;67597;1899000;25836,7;2,0;150;Дизель
97000;60140;1390000;18911,6;2,0;170;Бензин
