;Пробег;Модель;Цена;Год;Коробка передач;Кузов;Привод;Цвет;Двигатель
0;83 000 км;Volkswagen Tiguan I Рестайлинг;1 395 000 ₽;2012;автомат;внедорожник 5 дв.;полный;синий;2.0 л/140л.с./Дизель
1;86 000 км;Volkswagen Tiguan I Рестайлинг;1 099 000 ₽;2014;автомат;внедорожник 5 дв.;полный;коричневый;2.0 л/170л.с./Бензин
2;118 000 км;Volkswagen Tiguan II;1 730 000 ₽;2017;робот;внедорожник 5 дв.;полный;чёрный;2.0 л/150л.с./Дизель
3;31 000 км;Volkswagen Tiguan II;1 940 000 ₽;2017;робот;внедорожник 5 дв.;полный;чёрный;1.4 л/150л.с./Бензин
4;126 500 км;Volkswagen Tiguan I Рестайлинг;875 000 ₽;2012;автомат;внедорожник 5 дв.;полный;серебристый;2.0 л/140л.с./Дизель
5;112 000 км;Volkswagen Tiguan II;1 980 000 ₽;2017;робот;внедорожник 5 дв.;полный;чёрный;2.0 л/220л.с./Бензин
6;104 000 км;Volkswagen Tiguan II;1 920 000 ₽;2017;робот;внедорожник 5 дв.;полный;белый;2.0 л/150л.с./Дизель
7;190 000 км;Volkswagen Tiguan I Рестайлинг;1 070 000 ₽;2013;автомат;внедорожник 5 дв.;полный;чёрный;2.0 л/170л.с./Бензин
8;22 800 км;Volkswagen Tiguan II;1 950 000 ₽;2020;робот;внедорожник 5 дв.;полный;коричневый;1.4 л/150л.с./Бензин
9;283 000 км;Volkswagen Tiguan I Рестайлинг;850 000 ₽;2013;автомат;внедорожник 5 дв.;полный;белый;2.0 л/170л.с./Бензин
10;138 000 км;Volkswagen Tiguan I Рестайлинг;925 000 ₽;2011;автомат;внедорожник 5 дв.;полный;чёрный;2.0 л/170л.с./Бензин
11;26 630 км;Volkswagen Tiguan II;2 020 000 ₽;2017;робот;внедорожник 5 дв.;полный;белый;2.0 л/180л.с./Бензин
12;40 452 км;Volkswagen Tiguan II;2 300 000 ₽;2018;робот;внедорожник 5 дв.;полный;синий;2.0 л/180л.с./Бензин
13;32 000 км;Volkswagen Tiguan II;2 290 000 ₽;2018;робот;внедорожник 5 дв.;полный;белый;2.0 л/180л.с./Бензин
14;97 535 км;Volkswagen Tiguan I Рестайлинг;834 000 ₽;2012;механика;внедорожник 5 дв.;передний;серебристый;1.4 л/122л.с./Бензин
15;129 000 км;Volkswagen Tiguan I;750 000 ₽;2010;механика;внедорожник 5 дв.;полный;серебристый;1.4 л/150л.с./Бензин
