product-title;product-code;product-retail-price;product-gold-price;url;category;diameter;length;weight;pcs
Саморезы клопы 13x4.2 мм (200 шт.);107135;90;87;https://moscow.petrovich.ru/catalog/9963/107135/;"Саморезы ""клопы""";4,2;13,0;;200
Саморезы клопы 13x4.2 мм (1000 шт.);107134;349;339;https://moscow.petrovich.ru/catalog/9963/107134/;"Саморезы ""клопы""";4,2;13,0;;1000
Саморезы клопы 13x4.2 мм усиленные Hard-Fix/Wenzo (100 шт.);144938;127;123;https://moscow.petrovich.ru/catalog/9963/144938/;"Саморезы ""клопы""";4,2;13,0;;100
Саморезы клопы 13x4.2 мм с буром усиленные Hard-Fix/Wenzo (100 шт.);144945;161;157;https://moscow.petrovich.ru/catalog/9963/144945/;"Саморезы ""клопы""";4,2;13,0;;100
Саморезы клопы 16x4.2 мм усиленные Hard-Fix/Wenzo (100 шт.);144939;147;143;https://moscow.petrovich.ru/catalog/9963/144939/;"Саморезы ""клопы""";4,2;16,0;;100
Саморезы клопы 13x4.2 мм усиленные Hard-Fix (900 шт.);505706;1 033;1 002;https://moscow.petrovich.ru/catalog/9963/505706/;"Саморезы ""клопы""";4,2;13,0;;900
Саморезы клопы 16x4.2 мм с буром усиленные Hard-Fix/Wenzo (100 шт.);144946;164;159;https://moscow.petrovich.ru/catalog/9963/144946/;"Саморезы ""клопы""";4,2;16,0;;100
Саморезы клопы 16x4.2 мм (200 шт.);107138;99;96;https://moscow.petrovich.ru/catalog/9963/107138/;"Саморезы ""клопы""";4,2;16,0;;200
Саморезы клопы 13x4.2 мм с буром (1000 шт.);126393;433;420;https://moscow.petrovich.ru/catalog/9963/126393/;"Саморезы ""клопы""";4,2;13,0;;1000
Саморезы клопы 9.5x3.9 (3.5) мм с буром фосфатированные (1000 шт.);126401;381;370;https://moscow.petrovich.ru/catalog/9963/126401/;"Саморезы ""клопы""";3,9;9,5;;1000
Саморезы клопы 13x4.2 мм усиленные Hard-Fix/Wenzo (2200 шт.);144966;2 038;1 977;https://moscow.petrovich.ru/catalog/9963/144966/;"Саморезы ""клопы""";4,2;13,0;;2200
